Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;ETANOL;07/01/2009;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;DIESEL;07/01/2009;2,43;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;GASOLINA;07/01/2009;2,9;2,3312;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;ETANOL;07/01/2009;2,09;1,7002;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO TREVO LTDA; 84.322.932/0001-40;ESTRADA APOLONIO SALES;S/N;;VILA IVONETE;69914-610;DIESEL;07/01/2009;2,45;2,1167;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;GASOLINA;07/01/2009;2,89;;R$ / litro;SABBÁ
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;ETANOL;07/01/2009;2,05;;R$ / litro;SABBÁ
N;AC;RIO BRANCO;AUTO POSTO VITORIA LTDA; 84.308.824/0001-13;AVENIDA CEARA;2456;;CENTRO;69900-460;DIESEL;07/01/2009;2,49;;R$ / litro;SABBÁ
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;GASOLINA;07/01/2009;2,92;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;ETANOL;07/01/2009;2,05;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;LIDER AUTO POSTO LTDA; 84.301.191/0001-11;RUA SERGIPE;276;;CENTRO;69900-072;DIESEL;07/01/2009;2,44;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO JUNIOR LTDA; 63.605.703/0001-63;AVENIDA GETULIO VARGAS;3149;;VILA IVONETE;69914-000;GASOLINA;07/01/2009;2,92;2,3444;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO JUNIOR LTDA; 63.605.703/0001-63;AVENIDA GETULIO VARGAS;3149;;VILA IVONETE;69914-000;ETANOL;07/01/2009;2,1;1,7465;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
